01h06m00s +32d25m00s
01h06m06s -16d34m00s
01h06m06s -73d17m00s
01h06m12s -30d11m00s
01h06m18s -20d03m00s
01h06m24s +62d14m00s
01h06m24s -46d43m00s
01h06m36s +32d25m00s
01h06m42s +32d26m00s
01h07m00s +32d18m00s
01h07m06s +32d46m00s
01h07m06s +32d21m00s
01h07m06s +13d58m00s
01h07m12s +10d51m00s
01h07m18s +32d31m00s
01h07m18s +32d29m00s
01h07m24s +32d24m00s
01h07m24s +32d25m00s
01h07m24s +32d18m00s
01h07m24s +32d19m00s
01h07m24s -69d53m00s
01h07m24s +33d04m00s
01h07m30s +32d22m00s
01h07m30s +32d23m00s
01h07m30s +00d56m00s
01h07m30s -17d30m00s
01h07m42s -17d28m00s
01h07m42s -46d54m00s
01h07m48s +32d19m00s
01h07m54s -71d46m00s
01h08m00s +04d32m00s
01h08m06s +32d27m00s
01h08m06s -72d21m00s
01h08m12s -04d32m00s
01h08m12s -46d06m00s
01h08m18s +61d35m00s
01h08m18s -46d40m00s
01h08m18s -72d53m00s
01h08m18s -46d45m00s
01h08m24s +33d07m00s
01h08m24s +33d08m00s
01h08m30s +39d42m00s
01h08m30s +33d06m00s
01h08m36s +39d40m00s
01h08m42s -15d25m00s
01h08m48s +32d30m00s
01h08m48s -15d51m00s
01h08m48s -15d57m00s
01h08m48s -28d35m00s
01h08m48s -46d29m00s
01h08m54s -71d46m00s
01h08m54s -15d24m00s
01h09m00s +32d37m00s
01h09m00s +32d44m00s
01h09m06s +32d46m00s
01h09m06s -16d00m00s
01h09m12s +32d49m00s
01h09m12s +32d45m00s
01h09m12s -01d41m00s
01h09m12s -73d12m00s
01h09m18s -71d46m00s
01h09m24s +35d43m00s
01h09m24s +02d34m00s
01h09m30s -35d48m00s
01h09m30s -02d50m00s
01h09m54s -45d56m00s
01h10m12s -35d29m00s
01h10m18s -20d01m00s
01h10m30s +01d41m00s
01h10m36s +33d07m00s
01h10m36s -30d13m00s
01h10m42s +17d41m00s
01h10m54s +33d06m00s
01h11m00s +33d09m00s
01h11m00s -30d26m00s
01h11m06s -18d10m00s
01h11m06s +17d39m00s
01h11m06s +17d39m00s
01h11m18s +33d06m00s
01h11m24s -29d13m00s
01h11m30s -38d05m00s
01h11m30s +01d39m00s
01h11m36s +33d21m00s
01h11m48s -61d32m00s
01h11m48s -00d28m00s
01h11m48s -00d39m00s
01h11m48s -55d51m00s
01h11m54s -00d37m00s
01h11m54s -71d20m00s
01h12m06s +32d06m00s
01h12m06s +32d09m00s
01h12m12s -58d15m00s
01h12m12s -00d24m00s
01h12m18s +33d21m00s
01h12m18s -50d24m00s
01h12m24s +15d45m00s
01h12m30s -32d03m00s
01h12m30s +15d44m00s
01h12m36s -71d45m00s
01h12m36s -73d27m00s
01h12m42s +15d41m00s
01h12m54s -00d17m00s
01h12m54s +00d59m00s
01h12m54s -58d17m00s
01h13m00s +38d48m00s
01h13m00s -00d20m00s
01h13m06s -00d15m00s
01h13m12s +38d53m00s
01h13m24s -37d56m00s
01h13m30s -16d14m00s
01h13m30s +02d06m00s
01h13m42s +33d13m00s
01h13m48s -31d45m00s
01h14m00s +02d04m00s
01h14m00s -31d47m00s
01h14m06s -32d39m00s
01h14m06s -32d39m00s
01h14m12s +33d44m00s
01h14m18s +00d46m00s
01h14m18s -69d48m00s
01h14m24s +05d56m00s
01h14m24s -55d24m00s
01h14m24s -73d17m00s
01h14m30s +00d48m00s
01h14m36s -01d01m00s
01h14m48s -72d18m00s
01h14m54s +01d56m00s
01h14m54s +04d11m00s
01h14m54s -71d33m00s
01h15m00s +31d58m00s
01h15m06s +33d23m00s
01h15m06s +33d23m00s
01h15m12s +30d12m00s
01h15m18s +60d08m00s
01h15m18s -01d37m00s
01h15m30s -00d52m00s
01h15m30s -73d20m00s
01h15m36s +58d49m00s
01h15m36s +33d04m00s
01h15m36s +33d05m00s
01h15m48s +31d05m00s
01h15m54s +31d05m00s
01h16m00s +05d11m00s
01h16m06s +33d05m00s
01h16m06s +04d18m00s
01h16m06s +30d21m00s
01h16m12s +33d04m00s
01h16m12s +33d05m00s
01h16m18s +31d02m00s
01h16m18s +33d05m00s
01h16m30s -07d58m00s
01h17m12s -58d55m00s
01h17m18s -33d50m00s
01h17m36s -17d07m00s
01h17m42s +34d42m00s
01h18m00s +17d33m00s
01h18m06s +04d14m00s
01h18m30s +32d28m00s
01h18m42s +02d33m00s
01h18m48s +33d11m00s
01h18m54s +16d19m00s
01h19m00s +34d58m00s
01h19m00s -17d04m00s
01h19m00s -50d39m00s
01h19m06s +58d20m00s
01h19m12s +03d18m00s
01h19m12s -16d51m00s
01h19m18s -12d34m00s
01h19m24s +14d53m00s
01h19m36s -58d31m00s
01h19m36s -17d06m00s
01h19m42s +03d25m00s
01h19m48s +32d47m00s
01h19m54s +14d47m00s
01h19m54s +16d33m00s
01h19m54s +32d46m00s
01h20m00s +14d51m00s
01h20m00s +14d51m00s
01h20m06s +03d25m00s
01h20m06s +32d42m00s
01h20m06s +33d12m00s
01h20m12s +16d01m00s
01h20m12s -22d22m00s
01h20m18s -40d57m00s
01h20m18s +29d40m00s
01h20m30s +32d43m00s
01h20m42s +29d42m00s
01h20m48s +33d01m00s
01h20m54s -09d52m00s
01h21m00s -09d12m00s
01h21m00s -12d37m00s
01h21m00s +34d16m00s
01h21m00s +30d16m00s
01h21m00s +05d34m00s
01h21m12s +33d14m00s
01h21m18s +40d29m00s
01h21m18s +03d52m00s
01h21m24s +07d01m00s
01h21m24s -34d03m00s
01h21m24s +00d05m00s
01h21m48s -16d21m00s
01h21m48s +05d15m00s
01h21m48s +09d12m00s
01h21m48s +33d28m00s
01h21m54s +33d18m00s
01h22m00s +33d32m00s
01h22m06s +05d24m00s
01h22m06s +05d22m00s
01h22m12s +05d25m00s
01h22m12s +00d57m00s
01h22m12s +33d13m00s
01h22m24s -00d53m00s
01h22m30s -12d57m00s
01h22m36s +34d27m00s
01h22m42s +05d24m00s
01h22m48s +09d03m00s
01h22m54s +33d28m00s
01h22m54s +09d28m00s
01h22m54s -04d39m00s
01h22m54s +33d23m00s
01h23m00s +33d11m00s
01h23m00s +33d11m00s
01h23m12s +33d28m00s
01h23m12s +33d26m00s
01h23m18s +33d33m00s
01h23m18s +33d30m00s
01h23m24s +33d27m00s
01h23m24s +09d26m00s
01h23m24s +33d17m00s
01h23m24s +33d04m00s
01h23m30s +33d21m00s
01h23m30s +33d13m00s
01h23m30s +11d17m00s
01h23m36s +33d14m00s
01h23m42s +33d15m00s
01h23m42s +33d17m00s
01h23m42s +33d26m00s
01h23m48s +33d49m00s
01h23m48s +33d04m00s
01h23m48s +33d10m00s
01h23m54s -35d03m00s
01h24m00s +33d55m00s
01h24m00s -35d06m00s
01h24m00s -01d39m00s
01h24m06s +12d55m00s
01h24m06s +09d33m00s
01h24m06s +09d56m00s
01h24m18s +09d20m00s
01h24m24s +09d54m00s
01h24m30s -01d38m00s
01h24m30s +33d23m00s
01h24m36s +33d29m00s
01h24m36s +03d48m00s
01h24m36s +01d44m00s
01h24m36s -38d07m00s
01h24m36s +02d02m00s
01h24m36s -01d27m00s
01h24m36s +33d15m00s
01h24m42s +33d27m00s
01h24m42s -01d35m00s
01h24m42s +02d05m00s
01h24m42s -01d35m00s
01h24m42s -12d38m00s
01h24m48s +10d00m00s
01h24m48s +09d32m00s
01h24m48s +09d42m00s
01h24m48s +01d36m00s
01h24m54s -01d37m00s
01h24m54s -71d11m00s
01h25m00s +08d44m00s
01h25m06s -38d05m00s
01h25m06s -38d03m00s
01h25m06s +00d27m00s
01h25m12s +14d53m00s
01h25m12s +02d04m00s
01h25m18s +34d02m00s
01h25m18s +09d16m00s
01h25m18s -18d09m00s
01h25m24s -01d33m00s
01h25m24s +14d51m00s
01h25m24s +14d57m00s
01h25m30s +33d41m00s
01h25m30s +01d46m00s
01h25m30s -01d25m00s
01h25m30s -38d16m00s
01h25m30s +14d52m00s
01h25m42s +34d44m00s
01h25m42s -01d23m00s
01h25m48s -01d18m00s
01h25m48s +18d11m00s
01h25m54s +33d30m00s
01h25m54s +16d36m00s
01h26m00s -01d20m00s
01h26m00s -01d21m00s
01h26m00s -01d14m00s
01h26m00s +33d29m00s
01h26m00s +11d27m00s
01h26m18s +34d45m00s
01h26m18s +34d05m00s
01h26m18s +09d56m00s
01h26m24s +34d43m00s
01h26m24s +19d12m00s
01h26m24s -01d38m00s
01h26m30s +34d41m00s
01h26m30s -01d38m00s
01h26m42s +02d01m00s
01h26m42s -03d30m00s
01h26m48s -04d59m00s
01h26m54s -10d15m00s
01h26m54s +19d13m00s
01h26m54s +14d43m00s
01h27m06s -20d02m00s
01h27m06s -18d38m00s
01h27m12s -22d43m00s
01h27m12s -22d45m00s
01h27m12s -22d42m00s
01h27m12s +14d47m00s
01h27m18s -01d58m00s
01h27m24s -01d55m00s
01h27m24s -01d52m00s
01h27m36s +37d11m00s
01h27m36s -05d00m00s
01h27m48s +33d28m00s
01h27m48s +33d28m00s
01h27m48s -01d53m00s
01h27m54s -35d43m00s
01h27m54s -02d03m00s
01h27m54s -35d43m00s
01h28m12s +34d19m00s
01h28m12s -01d18m00s
01h28m12s -01d55m00s
01h28m12s -14d50m00s
01h28m24s +48d23m00s
01h28m24s +02d31m00s
01h28m36s -39d18m00s
01h28m48s +02d27m00s
01h28m48s +33d36m00s
01h28m54s -51d36m00s
01h29m00s +32d21m00s
01h29m00s -00d57m00s
01h29m00s -35d35m00s
01h29m06s +11d09m00s
01h29m12s -01d56m00s
01h29m18s -13d18m00s
01h29m30s +63d18m00s
01h29m36s -73d33m00s
01h29m42s -18d19m00s
01h29m48s -01d59m00s
01h29m48s -06d59m00s
01h29m54s +32d31m00s
01h30m30s -22d40m00s
01h30m42s -01d59m00s
01h30m42s -02d00m00s
01h30m48s +21d26m00s
01h30m48s +21d26m00s
01h30m54s +41d16m00s
01h30m54s +17d11m00s
01h31m18s -06d52m00s
01h31m18s -12d38m00s
01h31m24s -06d52m00s
01h31m30s -15d35m00s
01h31m36s -06d54m00s
01h31m36s -12d41m00s
01h31m42s +33d38m00s
01h31m42s -00d55m00s
01h31m54s +33d30m00s
01h32m12s -33d29m00s
01h32m18s -12d21m00s
01h32m30s +35d22m00s
01h32m30s -67d32m00s
01h32m36s -12d02m00s
01h32m42s +30d40m00s
01h32m42s +35d20m00s
01h32m48s -12d11m00s
01h32m48s -14d49m00s
01h32m54s -07d02m00s
01h32m54s -13d30m00s
01h33m00s -16d32m00s
01h33m00s -00d42m00s
01h33m06s -07d19m00s
01h33m12s +60d42m00s
01h33m12s +30d39m00s
01h33m12s +30d45m00s
01h33m12s +30d28m00s
01h33m12s +30d30m00s
01h33m18s -12d12m00s
01h33m18s +30d57m00s
01h33m18s +30d53m00s
01h33m24s +30d53m00s
01h33m30s +35d41m00s
01h33m30s +30d42m00s
01h33m30s -12d19m00s
01h33m36s +44d56m00s
01h33m36s +30d31m00s
01h33m36s +12d34m00s
01h33m42s +30d28m00s
01h33m42s +30d29m00s
01h33m54s +30d39m00s
01h33m54s -09d47m00s
01h33m54s +30d45m00s
01h34m00s -36d30m00s
01h34m06s +30d47m00s
01h34m18s -07d25m00s
01h34m18s -20d09m00s
01h34m18s -20d08m00s
01h34m18s -29d25m00s
